carrera,materia,comision_nombre,espacio,dia_semana,hora_inicio,hora_fin,activo,plan_estudio
Tecnicatura Universitaria en Operaciones y Mantenimiento de Redes Electricas,"Seguridad, Higiene y Protección Ambiental",Curso 1,,Sábado,08:10,10:10,TRUE,2010
Tecnicatura Universitaria en Operaciones y Mantenimiento de Redes Electricas,"Generación, Transmisión y Distribución de la Energía Eléctrica II",Curso 1,,Sábado,10:10,12:50,TRUE,2010
Tecnicatura Universitaria en Operaciones y Mantenimiento de Redes Electricas,"Generación, Transmisión y Distribución de la Energía Eléctrica II",Curso 1,,Martes,17:20,20:10,TRUE,2010
Tecnicatura Universitaria en Operaciones y Mantenimiento de Redes Electricas,"Seguridad, Higiene y Protección Ambiental",Curso 1,,Jueves,18:50,22:10,TRUE,2010
Tecnicatura Universitaria en Operaciones y Mantenimiento de Redes Electricas,Sistemas de Representación,Curso 1,,Sábado,07:45,11:40,TRUE,2010
Tecnicatura Universitaria en Operaciones y Mantenimiento de Redes Electricas,"Generación, Transmisión y Distribución de la Energía Eléctrica I",Curso 1,,Sábado,11:40,15:45,TRUE,2010
Tecnicatura Universitaria en Operaciones y Mantenimiento de Redes Electricas,Quimica,Curso 1,,Viernes,14:15,18:05,TRUE,2010
Tecnicatura Universitaria en Operaciones y Mantenimiento de Redes Electricas,Elementos de Estabilidad,Curso 1,,Viernes,18:10,22:00,TRUE,2010
