carrera,materia,nivel,modalidad,cuatrimestre,plan_estudio
Tecnicatura Universitaria en Operaciones y Mantenimiento de Redes Electricas,Sistemas de Representación,Primer Año,anual,,2010
Tecnicatura Universitaria en Operaciones y Mantenimiento de Redes Electricas,"Generación, Transmisión y Distribución de la Energía Eléctrica I",Primer Año,anual,,2010
Tecnicatura Universitaria en Operaciones y Mantenimiento de Redes Electricas,Quimica,Primer Año,anual,,2010
Tecnicatura Universitaria en Operaciones y Mantenimiento de Redes Electricas,Elementos de Estabilidad,Primer Año,anual,,2010
Tecnicatura Universitaria en Operaciones y Mantenimiento de Redes Electricas,"Seguridad, Higiene y Protección Ambiental",Tercer Año,anual,,2010
Tecnicatura Universitaria en Operaciones y Mantenimiento de Redes Electricas,"Generación, Transmisión y Distribución de la Energía Eléctrica II",Tercer Año,anual,,2010
