carrera,materia,nombre
Tecnicatura Universitaria en Operaciones y Mantenimiento de Redes Electricas,"Seguridad, Higiene y Protección Ambiental",Curso 1
Tecnicatura Universitaria en Operaciones y Mantenimiento de Redes Electricas,"Generación, Transmisión y Distribución de la Energía Eléctrica II",Curso 1
Tecnicatura Universitaria en Operaciones y Mantenimiento de Redes Electricas,Sistemas de Representación,Curso 1
Tecnicatura Universitaria en Operaciones y Mantenimiento de Redes Electricas,"Generación, Transmisión y Distribución de la Energía Eléctrica I",Curso 1
Tecnicatura Universitaria en Operaciones y Mantenimiento de Redes Electricas,Quimica,Curso 1
Tecnicatura Universitaria en Operaciones y Mantenimiento de Redes Electricas,Elementos de Estabilidad,Curso 1
